;Subject;ProlificNo;Age;Sex;check.RESP;BlockCondition;RESP_LTM;CRESP_LTM;TypeLTM;TypeSTM;RESP1;RESP2;RESP3;RESP4;RESP5;RESP6;CRESP1;CRESP2;CRESP3;CRESP4;nWords
3789;1653;5f83c8f31854ab56a1f68bea;28;mężczyzna;t;long;mosiadz;zelazo;Rel;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
3790;1653;5f83c8f31854ab56a1f68bea;28;mężczyzna;t;long;centaur;elf;Unrel;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
3791;1653;5f83c8f31854ab56a1f68bea;28;mężczyzna;t;long;oko;oko;Unrel;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
3792;1653;5f83c8f31854ab56a1f68bea;28;mężczyzna;t;long;x;brylant;Unrel;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
3793;1653;5f83c8f31854ab56a1f68bea;28;mężczyzna;t;long;x;wujek;Rel;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
3794;1653;5f83c8f31854ab56a1f68bea;28;mężczyzna;t;long;rap;rap;Unrel;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
3795;1653;5f83c8f31854ab56a1f68bea;28;mężczyzna;t;long;x;kwadrat;Rel;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
3796;1653;5f83c8f31854ab56a1f68bea;28;mężczyzna;t;long;roza;roza;Unrel;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
3797;1653;5f83c8f31854ab56a1f68bea;28;mężczyzna;t;long;x;harfa;Rel;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
3798;1653;5f83c8f31854ab56a1f68bea;28;mężczyzna;t;long;x;buk;Rel;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
3799;1653;5f83c8f31854ab56a1f68bea;28;mężczyzna;t;long;kon;kon;Rel;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
3800;1653;5f83c8f31854ab56a1f68bea;28;mężczyzna;t;long;pstrag;losos;Unrel;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
3801;1653;5f83c8f31854ab56a1f68bea;28;mężczyzna;t;short;;;;Unrelated;saksofon;swierk;braz;euro;NA;NA;saksofon;swierk;braz;euro;4
3802;1653;5f83c8f31854ab56a1f68bea;28;mężczyzna;t;short;;;;Related;szafir;brylant;bursztyn;pegaz;NA;NA;sandaly;bursztyn;harpia;pstrag;4
